Fecha
16 de mayo de 1929

3 de abril de 1930
5 de noviembre de 1930
10 de noviembre de 1931
18 de noviembre de 1932

16 de marzo de 1934
27 de febrero de 1935
5 de marzo de 1936
4 de marzo de 1937
10 de marzo de 1938
23 de febrero de 1939
29 de febrero de 1940
27 de febrero de 1941
26 de febrero de 1942
4 de marzo de 1943
2 de marzo de 1944
15 de marzo de 1945

7 de marzo de 1946

13 de marzo de 1947
20 de marzo de 1948

24 de marzo de 1949
23 de marzo de 1950
29 de marzo de 1951
20 de marzo de 1952
19 de marzo de 1953

25 de marzo de 1954

30 de marzo de 1955

21 de marzo de 1956


27 de marzo de 1957

26 de marzo de 1958




6 de abril de 1959





4 de abril de 1960
17 de abril de 1961
9 de abril de 1962

8 de abril de 1963
13 de abril de 1964
5 de abril de 1965
18 de abril de 1966
10 de abril de 1967
10 de abril de 1968
14 de abril de 1969

7 de abril de 1970
15 de abril de 1971
10 de abril de 1972



27 de marzo de 1973



2 de abril de 1974



8 de abril de 1975



29 de marzo de 1976




28 de marzo de 1977



3 de abril de 1978
9 de abril de 1979
14 de abril de 1980
31 de marzo de 1981
29 de marzo de 1982
11 de abril de 1983



9 de abril de 1984
25 de marzo de 1985
24 de marzo de 1986


30 de marzo de 1987


11 de abril de 1988
29 de marzo de 1989
26 de abril de 1990
25 de marzo de 1991
30 de marzo de 1992
29 de marzo de 1993
21 de marzo de 1994
27 de marzo de 1995
25 de marzo de 1996
24 de marzo de 1997
23 de marzo de 1998
21 de marzo de 1999
26 de marzo de 2000
25 de marzo de 2001
24 de marzo de 2002
23 de marzo de 2003
29 de febrero de 2004
27 de febrero de 2005
5 de marzo de 2006
25 de febrero de 2007
24 de febrero de 2008
22 de febrero de 2009
7 de marzo de 2010

27 de febrero de 2011

26 de febrero de 2012
24 de febrero de 2013
2 de marzo de 2014
22 de febrero de 2015
28 de febrero de 2016
26 de febrero de 2017
4 de marzo de 2018
24 de febrero de 2019
